"","Gene",">=80",">=60",">=50",">=40",">=30",">=20",">=10",">=2","<2","No Expression"
"1","UCP2","10,11","NA","NA","NA","NA","NA","NA","7","0,1,2,4,5,6,8,9,12,13","NA"
"2","gene1437","10,11","NA","NA","NA","NA","NA","NA","7","0,1,2,3,5,6,8,9,12,13","13"
"3","VGR","10,11","NA","NA","NA","NA","NA","NA","9","0,1,2,4,5,6,8,12,13","NA"
"4","POLR3GL","10,11","7","NA","NA","NA","NA","NA","9","0,2,8,12,13","13"
"5","OSK","7,10,11","NA","NA","NA","NA","NA","NA","13","0,6,8","NA"
"6","LOC6033718","9,10,11","3,7","NA","NA","NA","NA","NA","13","0,1,5,6,8","NA"
"7","H1-0","4,7,10,11","NA","NA","NA","NA","NA","NA","13","0,1,8,12","NA"
"8","LOC6038517","7,9,10,11","3,4","NA","NA","NA","NA","NA","8","0,12,13","13"
"9","LOC119767247","3,4,7,9,10,11","2","NA","NA","NA","NA","NA","13","NA","NA"
"10","FK506","0,1,3,4,5,9,10,11","6,7","NA","NA","NA","NA","NA","13","NA","NA"
