"","Gene",">=80",">=60",">=50",">=40",">=30",">=20",">=10",">=2","<2","No Expression"
"1","gene6803","12","NA","NA","NA","NA","NA","0,1,3,4,5,6,7,8,9,10,11,13","NA","NA","2"
"2","gene10236","12","NA","NA","NA","NA","NA","0,2,4,5,6,7,8,9,10,13","NA","NA","1,3,11"
"3","gene2439","12","NA","NA","NA","NA","NA","0,1,2,3,4,5,7,8,9,10,11,13","NA","NA","6"
"4","gene10574","NA","12","NA","NA","NA","NA","0,1,2,3,4,5,6,7,8,9,10,11","NA","NA","13"
"5","gene3314","12","NA","NA","NA","NA","8","0,1,2,3,4,5,7,13","NA","NA","6,9,10,11"
"6","gene1916","12","NA","NA","NA","NA","NA","0,1,2,3,4,5,6,7,8,9,10,11,13","NA","NA","NA"
"7","gene7137","12","NA","NA","NA","NA","4","0,1,2,3,5,6,8,9,10,11,13","NA","NA","7"
"8","gene10689","12,13","NA","NA","NA","10","NA","0,1,2,3,4,5,6,7,8,9,11","NA","NA","NA"
"9","karl","12","8","NA","NA","NA","NA","0,1,2,3,4,5,6,7,9,10,11,13","NA","NA","NA"
"10","CecA1","NA","12","NA","NA","NA","8,13","0,1,2,3,4,5,7,9,10,11","NA","NA","6"
