"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RBM39",2.28125752593793e-214,2.22129382658317,0.901,0.102,4.49807637054069e-208,"4","RBM39"
"gene3787",1.95661982150075e-237,3.45409493645233,0.922,0.05,3.85797100290357e-231,"8","gene3787"
"gene139341",4.45589191860058e-106,2.28157671543367,0.874,0.138,8.78591825817645e-100,"8","gene13934"
"gene14338",5.82179208037583e-198,1.90013309121841,0.951,0.056,1.14791359998573e-191,"10","gene14338"
"gene2878",4.70272956247969e-191,1.85565559595096,0.864,0.044,9.27262112300802e-185,"10","gene2878"
"gene2977",3.69576942093086e-186,1.87987425223461,0.889,0.051,7.28714444302868e-180,"10","gene2977"
"gene13563",3.09603210341397e-183,2.1093138985768,0.889,0.051,6.10461058800281e-177,"10","gene13563"
"gene10568",5.02004349159816e-181,2.16538348798018,0.914,0.058,9.89828581468914e-175,"10","gene10568"
"gene12615",2.91692641330539e-177,2.02700571608757,0.889,0.054,5.75145840621414e-171,"10","gene12615"
"gene17551",1.10049123160744e-175,2.72310115251046,0.901,0.06,2.16989688739566e-169,"10","gene1755"
"gene3365",1.84126690438679e-173,2.79837999685108,0.988,0.079,3.63052354252536e-167,"10","gene3365"
"gene13313",1.51365749381666e-172,2.21112391443135,0.901,0.059,2.98455870440547e-166,"10","gene13313"
"DDC",4.1796907765526e-171,1.71003329592763,0.864,0.052,8.24131782773992e-165,"10","DDC"
"AGXT.1",8.85859289968196e-169,1.76782413805372,0.864,0.053,1.74669571257266e-162,"10","AGXT.1"
"JMJD4",2.33737387395705e-166,1.55637942954705,0.852,0.053,4.60872394809643e-160,"10","JMJD4"
"gene10705",2.40664768881308e-166,1.75862681070802,0.901,0.061,4.74531480036026e-160,"10","gene10705"
"gene180",5.80449932428073e-165,2.35036099810906,0.901,0.065,1.14450389561485e-158,"10","gene180"
"gene14541",6.15642653552656e-165,1.53500049776588,0.877,0.058,1.21389524907041e-158,"10","gene14541"
"gene2901",8.97610110488106e-164,2.08027183474131,0.914,0.066,1.76986542818525e-157,"10","gene2901"
