"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",5.00207164377314e-78,0.902404158356487,0.793,0.412,9.86284976982461e-72,"0","gene2313"
"2",6.4676973317657e-78,0.64549714828345,0.944,0.458,1.2752701617001e-71,"0","GCAT"
"3",1.89590957865754e-69,0.685695875699369,0.689,0.279,3.73826539944674e-63,"0","LAMC3"
"4",1.14695940157015e-66,0.755452723774673,0.936,0.577,2.26152064092415e-60,"0","EIF4A2"
"5",2.80269638121844e-59,0.502952661289819,1,0.989,5.52622499775661e-53,"0","RPL9"
"6",3.09127701263708e-57,0.553769433643729,1,0.821,6.09523472349821e-51,"0","ELOF1"
"7",1.35113337790175e-55,0.741682027144274,0.727,0.363,2.66410129127791e-49,"0","gene3247"
"8",1.20838447024233e-50,0.558600207480319,0.975,0.751,2.38263570435372e-44,"0","EIF3S8"
"9",4.48101567593233e-42,0.539385475931738,0.58,0.271,8.8354561020666e-36,"0","gene10260"
"10",8.92716993445992e-42,0.509502364525347,0.574,0.26,1.76021740997812e-35,"0","gene2638"
"11",1.06807671926384e-167,1.60088405811145,0.992,0.448,2.10598347543863e-161,"1","APOLP-III"
"12",4.83713118899666e-162,1.55532384153237,0.994,0.483,9.53762793329773e-156,"1","LOC6047835"
"13",1.18312193583513e-153,1.46614972392662,0.992,0.457,2.33282422634873e-147,"1","GCAT"
"14",4.93865914180933e-140,1.19104610283992,0.983,0.528,9.73781597883998e-134,"1","ANP32B"
"15",1.24412125489426e-125,1.20600707346684,1,0.974,2.45309981670152e-119,"1","RPS26"
"16",8.57318285595053e-119,1.26295132765828,0.958,0.491,1.6904199015769e-112,"1","LOC6047003"
"17",8.82777544424857e-117,1.24221659448138,0.994,0.685,1.74061927155234e-110,"1","MT-ND4"
"18",1.20308708422201e-116,1.19533716372475,0.998,0.776,2.37219056757601e-110,"1","RPL38.1"
"19",1.63971519327649e-114,1.2141800068685,0.998,0.956,3.2331133514885e-108,"1","RPS27"
"20",2.17454517828174e-114,1.214506227703,1,0.991,4.28766597891255e-108,"1","RPS30"
"21",2.1953928223658e-103,0.256556251511481,0.932,0.34,4.32877238367824e-97,"3","H1-3"
"22",2.47814913012177e-86,0.662215992046692,0.737,0.201,4.88629798176498e-80,"3","ATRX"
"23",5.86757245362712e-75,0.39017786109309,0.673,0.17,1.15694035881566e-68,"3","PLA2G15"
"24",1.35325045144222e-52,0.256393944747213,0.56,0.162,2.66827563738255e-46,"3","LOC6034910"
"25",5.00250228332719e-42,0.29936924961196,0.665,0.258,9.86369888465724e-36,"3","PAN1"
"26",5.49208320488497e-38,0.442449132210919,0.883,0.561,1.08290315354816e-31,"3","gene4848"
"27",5.62863554735582e-34,0.452203802791344,0.436,0.141,1.10982790264055e-27,"3","gene3364"
"28",4.47757988939393e-29,0.284075117454398,0.365,0.112,8.82868157965215e-23,"3","gene3363"
"29",7.50568155477315e-27,0.357445999488479,0.94,0.776,1.47993501226686e-20,"3","CG16817"
"30",1.364981217995e-25,0.383111834232213,0.808,0.493,2.6914058115253e-19,"3","ENOPH1"
"31",3.77791109433104e-224,1.31765548020625,0.7,0.041,7.44910753398052e-218,"4","gene3163"
"32",2.28125752593793e-214,2.22129382658317,0.901,0.102,4.49807637054069e-208,"4","RBM39"
"33",8.01289093249381e-212,2.12644447932494,0.69,0.044,1.57994417348175e-205,"4","gene11211"
"34",1.40394988121479e-150,2.33940136467861,0.97,0.238,2.76824239013491e-144,"4","SMYD4"
"35",9.52589398068871e-111,1.52047337866635,0.665,0.108,1.87827100341049e-104,"4","gene4888"
"36",2.24616056559112e-88,1.87490967042606,0.956,0.462,4.42887383368599e-82,"4","GTF2F1"
"37",5.80068579331937e-84,1.23982632529545,0.901,0.342,1.14375196150348e-77,"4","K02A2.6-like"
"38",7.02441932967924e-73,1.23068628491631,0.798,0.283,1.3850419886553e-66,"4","SMC3"
"39",1.83545578463648e-71,1.36168825140212,0.956,0.489,3.61906544972432e-65,"4","ENOPH1"
"40",2.09416149911373e-67,1.22395767595553,0.985,0.629,4.12916921836199e-61,"4","NDUFA2"
"41",1.20190043509999e-88,3.05379800281978,1,0.52,2.36985078860971e-82,"5","APOLP-III"
"42",2.27103758033179e-87,2.82618566637167,1,0.552,4.47792516213196e-81,"5","LOC6047835"
"43",2.9128760326958e-81,2.60787217957625,1,0.552,5.74347205609604e-75,"5","LOC6047003"
"44",1.50464530702029e-77,2.80604613377883,1,0.963,2.96678889805317e-71,"5","RPS20"
"45",5.1855570718188e-76,2.79161862571314,1,0.98,1.02246377130299e-69,"5","RPL37"
"46",7.54086871374771e-76,2.7912071431412,1,0.995,1.48687305089382e-69,"5","RPS21"
"47",8.00931881216917e-76,2.56866898446852,1,0.992,1.5792398395851e-69,"5","RPSL4"
"48",4.14396892346293e-75,2.6327670160701,1,0.893,8.17088315674481e-69,"5","RPS2.1"
"49",6.43980569057062e-75,2.68262562093563,1,0.999,1.26977061897997e-68,"5","RPS10"
"50",8.4362420007325e-74,2.61619087884423,1,0.998,1.66341854736703e-67,"5","RPS25"
"51",1.08750673621748e-93,1.11241053492474,0.52,0.047,2.14429466965702e-87,"6","gene11279"
"52",4.93732604689112e-79,0.923583948934227,0.797,0.131,9.73518744493571e-73,"6","RBM39"
"53",2.25470938921894e-66,0.890023207122024,0.537,0.071,4.44573000232061e-60,"6","gene11211"
"54",2.5976026143278e-59,0.763189585230036,0.366,0.036,5.12183074760869e-53,"6","gene11280"
"55",8.83955973634522e-56,0.775292687418996,0.301,0.025,1.74294284288179e-49,"6","gene4038"
"56",4.56381797101443e-49,0.559267935080268,0.927,0.263,8.99872177580161e-43,"6","SMYD4"
"57",3.70268405073935e-39,0.651386424846251,0.772,0.238,7.30077838509746e-33,"6","AUB"
"58",5.95036887192867e-31,0.757821566166729,0.927,0.505,1.1732657674332e-24,"6","ENOPH1"
"59",2.2288145302115e-25,0.543551749270653,0.683,0.259,4.39467173638812e-19,"6","gene13898"
"60",1.44167567585223e-21,0.514762506581355,0.447,0.135,2.84262833888865e-15,"6","gene4888"
"61",8.45042152629903e-53,0.893374636475999,0.889,0.3,1.66621439957447e-46,"7","OSK"
"62",1.49735037063057e-43,0.230232869930907,0.935,0.349,2.95240508534194e-37,"7","H1-0"
"63",2.89491520698345e-32,0.399203112021277,0.583,0.15,5.70805774411524e-26,"7","gene1437"
"64",7.3318844072133e-31,0.179452209104427,0.676,0.206,1.44566650755761e-24,"7","VGR"
"65",2.20575881312353e-10,0.119457646253916,0.491,0.221,0.000434921155705276,"7","EXU"
"66",5.81830544319399e-07,0.191110657099899,0.491,0.283,1,"7","MYH11"
"67",9.26287230124188e-261,1.78826645832831,0.748,0.019,1.82640962485906e-254,"8","CORIN"
"68",1.95661982150075e-237,3.45409493645233,0.922,0.05,3.85797100290357e-231,"8","gene3787"
"69",1.96226669210646e-128,1.73230306605254,0.563,0.032,3.86910523696099e-122,"8","gene3713"
"70",4.45589191860058e-106,2.28157671543367,0.874,0.138,8.78591825817645e-100,"8","gene13934"
"71",7.0070624145269e-89,1.56181911294939,0.592,0.059,1.38161963370307e-82,"8","gene7771"
"72",2.71237400504223e-80,3.31525174765593,0.942,0.262,5.34813158156403e-74,"8","gene10749"
"73",3.81083670116809e-61,2.03073393215291,0.942,0.337,7.51402869803828e-55,"8","gene8227"
"74",1.83268425652505e-46,1.49747529104515,0.612,0.129,3.61360068085604e-40,"8","gene7200"
"75",9.0264341180612e-26,1.4629950297606,0.99,0.756,1.77978985515895e-19,"8","Fer2LCH"
"76",1.87971829798187e-24,2.07311487540399,0.262,0.042,3.70634019320064e-18,"8","CecA1"
"77",9.19964399762864e-72,1.39486338817736,0.841,0.139,1.81394256512563e-65,"9","RBM39"
"78",9.08638034756996e-63,0.870173606652122,0.568,0.069,1.79160977094621e-56,"9","gene5495"
"79",3.39594575194061e-62,0.917396102455005,0.568,0.07,6.69596622422616e-56,"9","gene1226"
"80",3.37896987830856e-61,1.16358372065899,0.898,0.193,6.66249399446454e-55,"9","TSSK3"
"81",1.19913886196541e-50,0.850997289458959,0.761,0.149,2.36440564849688e-44,"9","gene4803"
"82",9.52167139538273e-47,1.05561615095343,0.886,0.242,1.87743841388601e-40,"9","AUB"
"83",3.28370966475041e-41,0.994030349378785,1,0.895,6.47466438260062e-35,"9","SUMO1"
"84",2.43779280386791e-33,1.13483948290577,0.761,0.259,4.80672527440496e-27,"9","AKR1A1.2"
"85",3.83597600415575e-28,1.03691312953332,0.545,0.136,7.56359719412211e-22,"9","gene4888"
"86",1.10816901423558e-21,0.86390509780741,0.955,0.728,2.18503557832604e-15,"9","PA2G4"
"87",5.93567301351043e-81,4.74567621221351,1,0.268,1.17036810714082e-74,"10","LOC6033969"
"88",4.42285911586238e-75,4.63751518682965,1,0.307,8.720785730279e-69,"10","CPVL"
"89",2.77246970434197e-71,4.76534066177941,1,0.329,5.46662545694539e-65,"10","LOC6033971"
"90",6.65585890575796e-70,4.71448527481384,1,0.349,1.3123709765005e-63,"10","LOC120956412.2"
"91",9.89730772820234e-69,4.63468394640193,1,0.359,1.95150462050061e-62,"10","MAI2"
