"","Gene",">=80",">=60",">=50",">=40",">=30",">=20",">=10",">=2","<2","No Expression"
"1","LOC6033969","10,11","3,9","NA","NA","2,7","4","0,1,5,6,8,12","NA","NA","13"
"2","CPVL","3,10,11","13","7","2,9","NA","12","0,1,4,5,6,8","NA","NA","NA"
"3","LOC6033971","3,10,11","7","9","2","NA","4,13","0,1,5,6,8,12","NA","NA","NA"
"4","LOC120956412.2","3,10,11","7,9,13","NA","2,4","NA","NA","0,1,5,6,8,12","NA","NA","NA"
"5","MAI2","3,10,11","7","4,9","2","12","13","0,1,5,6,8","NA","NA","NA"
"6","TUBA8.1","3,9,10,11","NA","4,7","2","NA","NA","0,1,5,6,8,12,13","NA","NA","NA"
"7","GSTA4","3,9,10,11","2,7,12","8","4","NA","0,5","1,6,13","NA","NA","NA"
"8","GSTM2","3,7,10,11","2,9","NA","5,12","1,4,8,13","0,6","NA","NA","NA","NA"
"9","KHDRBS2","3,4,7,9,10,11","0,1,2,5,6","NA","NA","8","12,13","NA","NA","NA","NA"
"10","CCDC86","1,3,4,5,7,9,10,11","0,2,6,13","NA","8","12","NA","NA","NA","NA","NA"
