"","Gene",">=80",">=60",">=50",">=40",">=30",">=20",">=10",">=2","<2","No Expression"
"1","CORIN","NA","8","NA","NA","NA","NA","0,1,2,3,4,5,6,9,10,11,12","NA","NA","7,13"
"2","gene3787","8","NA","NA","NA","NA","NA","0,1,2,3,4,5,6,7,9,10,11,12,13","NA","NA","NA"
"3","gene3713","NA","NA","8","NA","13","12","0,1,2,3,4,5,7,10","NA","NA","6,9,11"
"4","gene13934","8","NA","5","NA","NA","1,10","0,2,3,4,6,7,9,11,12,13","NA","NA","NA"
"5","gene7771","12","NA","8","10","NA","13","0,1,2,3,4,5,7,9,11","NA","NA","6"
"6","gene10749","5,8","NA","1","NA","0","NA","2,3,4,6,7,9,10,11,12,13","NA","NA","NA"
"7","gene8227","8,10,11,13","3","NA","5","2,9,12","1,7","0,4,6","NA","NA","NA"
"8","gene7200","10","8,11","NA","NA","NA","3,9","0,1,2,4,5,6,7,12","NA","NA","13"
"9","Fer2LCH","0,1,5,8,10,11,13","3,4,7,9,12","NA","2","NA","6","NA","NA","NA","NA"
"10","CecA1","NA","12","NA","NA","NA","8,13","0,1,2,3,4,5,7,9,10,11","NA","NA","6"
