"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"gene3787",1.95661982150075e-237,3.45409493645233,0.922,0.05,3.85797100290357e-231,"8","gene3787"
"gene14338",5.82179208037583e-198,1.90013309121841,0.951,0.056,1.14791359998573e-191,"10","gene14338"
"gene10568",5.02004349159816e-181,2.16538348798018,0.914,0.058,9.89828581468914e-175,"10","gene10568"
"gene17551",1.10049123160744e-175,2.72310115251046,0.901,0.06,2.16989688739566e-169,"10","gene1755"
"gene3365",1.84126690438679e-173,2.79837999685108,0.988,0.079,3.63052354252536e-167,"10","gene3365"
"gene13313",1.51365749381666e-172,2.21112391443135,0.901,0.059,2.98455870440547e-166,"10","gene13313"
"gene10705",2.40664768881308e-166,1.75862681070802,0.901,0.061,4.74531480036026e-160,"10","gene10705"
"gene180",5.80449932428073e-165,2.35036099810906,0.901,0.065,1.14450389561485e-158,"10","gene180"
"gene2901",8.97610110488106e-164,2.08027183474131,0.914,0.066,1.76986542818525e-157,"10","gene2901"
"PLIN2",5.3234471937858e-159,1.85463763193198,0.926,0.071,1.04965229746887e-152,"10","PLIN2"
"LIN37",6.40153107711781e-159,2.20880668141517,0.926,0.073,1.26222381059003e-152,"10","LIN37"
"gene19471",5.54267715715972e-158,2.60180622239861,1,0.092,1.09287903126612e-151,"10","gene1947"
"gene8324",3.30146366000196e-157,2.16020782541919,0.914,0.071,6.50967087599985e-151,"10","gene8324"
"gene9964",1.2503555913599e-156,2.16778592789814,0.951,0.079,2.46539238833065e-150,"10","gene9964"
"gene6557",2.82205560212604e-156,1.95738501458365,0.938,0.077,5.56439659965883e-150,"10","gene6557"
"gene71641",1.42115772134381e-155,2.34657769300923,0.938,0.077,2.80217200053282e-149,"10","gene7164"
"unc-32",2.448230511203e-155,2.30944917349551,0.951,0.083,4.82730585515606e-149,"10","unc-32"
"gene5806",1.20967133536124e-154,1.85863678914527,0.914,0.072,2.38517308451253e-148,"10","gene5806"
"gene74981",1.66801509853099e-153,1.87778565970061,0.914,0.073,3.28891377457378e-147,"10","gene7498"
"gene5393",2.05194344662921e-153,2.3407555709126,1,0.093,4.04592564672149e-147,"10","gene5393"
"C3orf38",5.90555272428636e-151,2.67097674896645,1,0.098,1.16442913007698e-144,"10","C3orf38"
"gene12053",2.45546467818096e-149,2.14389280248157,0.963,0.088,4.84156984559735e-143,"10","gene12053"
"gene6231",4.26780910298104e-149,2.39452023793987,0.975,0.093,8.41506540223017e-143,"10","gene623"
"DCAF10",7.80817817666575e-149,1.98247474127051,0.901,0.074,1.53957987443752e-142,"10","DCAF10"
"gene12492",1.38678216298157e-148,1.7494195576723,0.901,0.073,2.73439189020539e-142,"10","gene12492"
"gene34751",8.91441754323309e-148,2.69454646528398,0.963,0.09,1.75770295341225e-141,"10","gene3475"
"gene47511",4.38638050485333e-147,2.12734462762189,0.901,0.075,8.64885891958607e-141,"10","gene4751"
"gene13760",1.10495364899295e-146,1.59961265702889,0.914,0.074,2.17869567226279e-140,"10","gene13760"
"gene64391",4.82921022255034e-146,2.33615943994991,0.914,0.079,9.52200974394429e-140,"10","gene6439"
"gene93101",6.10508251953839e-146,2.74533536367696,0.963,0.093,1.20377147731474e-139,"10","gene9310"
"gene102911",1.52437002167161e-145,2.17826473514312,0.951,0.09,3.00568116334107e-139,"10","gene10291"
"GLYATL3",2.61958391174844e-145,2.24872471812892,0.963,0.092,5.16517243674172e-139,"10","GLYATL3"
"gene4622",3.51890022486435e-145,1.77839046962425,0.914,0.077,6.93840207507695e-139,"10","gene4622"
"gene14434",1.36715123175854e-144,1.82653000117841,0.901,0.077,2.69568454267359e-138,"10","gene14434"
"mad21",1.14669686229514e-143,1.74473078962424,0.926,0.081,2.26100297832102e-137,"10","mad2"
"gene3973",1.65028198979175e-143,1.97076912501987,0.926,0.083,3.25394846421785e-137,"10","gene3973"
"gene14552",2.1439624587152e-143,2.10199111162006,0.901,0.079,4.22736440985907e-137,"10","gene14552"
"gene866",8.10222871645702e-143,1.67565771632661,0.938,0.085,1.59755937783603e-136,"10","gene866"
"FITM21",8.8771322896146e-143,2.33327614143273,0.938,0.088,1.75035122234444e-136,"10","FITM2"
"SERGEF",1.51542053381698e-142,2.71304068233776,0.963,0.098,2.98803498381523e-136,"10","SERGEF"
"gene115761",2.45252946532803e-142,2.23156465879421,0.926,0.084,4.83578233084894e-136,"10","gene11576"
"gene42822",1.17822206086579e-141,1.80503787090308,0.938,0.086,2.32316288317831e-135,"10","gene4282"
"gene88812",1.61251139279702e-141,2.13637083577886,0.975,0.098,3.17947417628169e-135,"10","gene8881"
"HEMK1.1",1.90406535056409e-141,1.88638545432681,0.901,0.078,3.7543465671708e-135,"10","HEMK1.1"
"gene105652",3.12769696757652e-141,2.74545168659908,0.963,0.099,6.16704587890991e-135,"10","gene10565"
"gene108431",7.39709802068502e-141,2.05402000870595,0.963,0.095,1.45852502135797e-134,"10","gene10843"
"SPHK1",7.54693298322478e-141,2.36918204914761,0.901,0.079,1.48806877504724e-134,"10","SPHK1"
"gene96682",9.27754037276126e-141,2.15304938464125,0.938,0.089,1.82930180626131e-134,"10","gene9668"
"gene7608",1.87886225909905e-140,1.60624962751099,0.914,0.081,3.70465229596533e-134,"10","gene7608"
"PPIH1",3.84508765531858e-139,2.0160465855554,0.951,0.095,7.58156311963738e-133,"10","PPIH"
"SUMF1",1.0566993814314e-138,1.60262769478432,0.901,0.078,2.08355017543551e-132,"10","SUMF1"
"gene2153",3.81530097690299e-138,1.95882638224351,0.926,0.088,7.5228311471114e-132,"10","gene2153"
"gene37421",4.71736911208962e-138,1.98434971476766,0.938,0.09,9.30148669887005e-132,"10","gene3742"
"gene101702",9.88628491048524e-138,2.05162402390075,0.963,0.099,1.9493311931104e-131,"10","gene10170"
"gene43441",1.32503357524473e-136,1.81474935739281,0.914,0.086,2.61263892708952e-130,"10","gene4344"
"gene9414",1.80539101690684e-135,2.03466362435125,0.938,0.094,3.55978515375911e-129,"10","gene9414"
"gene8461",2.73105729384571e-135,2.05283604178834,0.901,0.084,5.38497041231217e-129,"10","gene8461"
"gene11018",3.6554614899404e-134,2.11784721610991,0.901,0.085,7.20766715917444e-128,"10","gene11018"
"gene9987",4.97838401143459e-134,1.88741204895135,0.901,0.084,9.81614360969818e-128,"10","gene9987"
"gene141571",6.65152781595765e-134,2.2201199652498,0.914,0.089,1.31151699256979e-127,"10","gene14157"
"DARS1",7.88203118946561e-134,2.06270706267389,0.951,0.098,1.55414186439224e-127,"10","DARS"
"gene12202",2.63423947536702e-133,1.82020191342786,0.901,0.086,5.19406958827335e-127,"10","gene12202"
"gene11067",6.37777607874959e-133,2.35558150662292,0.926,0.094,1.25753991166027e-126,"10","gene11067"
"AAAS1",2.89507936463016e-132,1.88086928386273,0.914,0.089,5.70838142244761e-126,"10","AAAS"
"C7orf60",5.09731007283479e-132,2.1105622790714,0.914,0.091,1.00506364280422e-125,"10","C7orf60"
"gene14543",6.94590838677144e-132,1.97700903972713,0.914,0.092,1.36956156993417e-125,"10","gene14543"
"gene131851",7.42698943341333e-132,2.04759238903155,0.938,0.098,1.4644188696301e-125,"10","gene13185"
"gene42462",2.23496400786366e-131,1.93231895377399,0.914,0.09,4.4067969873972e-125,"10","gene4246"
"TM2D3",2.72319137801062e-131,2.040729946795,0.914,0.091,5.36946076916658e-125,"10","TM2D3"
"SLC39A7",3.73989344016779e-130,2.01704200673545,0.926,0.097,7.37414611033116e-124,"10","SLC39A7"
"gene28611",7.12207047829402e-130,2.32009759457628,0.926,0.098,1.40429638317877e-123,"10","gene2861"
"gene6917",8.49406787970764e-130,1.64631712992168,0.926,0.091,1.67482038240172e-123,"10","gene6917"
"gene57001",2.06091209849889e-129,2.0374262226717,0.914,0.092,4.06360961295147e-123,"10","gene5700"
"gene105812",5.00463867448431e-129,2.29578211872949,0.914,0.092,9.86791132033046e-123,"10","gene10581"
"CAPN1",1.87584891258732e-127,1.74210948900168,0.901,0.091,3.69871072094079e-121,"10","CAPN1"
"PDP12",1.96614488186241e-127,2.15707854297488,0.914,0.097,3.87675206924685e-121,"10","PDP1"
"gene121551",3.90933704314999e-126,2.62476410584013,0.914,0.098,7.70824704284211e-120,"10","gene12155"
"gene10564",1.20955243896887e-125,1.91315154303603,0.901,0.093,2.38493865019418e-119,"10","gene10564"
"gene137782",1.99947228965717e-125,2.12037934595873,0.901,0.095,3.9424654855484e-119,"10","gene13778"
"gene73422",2.00212451838175e-125,1.81459264341606,0.926,0.095,3.94769502549277e-119,"10","gene7342"
"CARS21",4.29924739450224e-125,1.95274771738183,0.914,0.096,8.47705394785197e-119,"10","CARS2"
"ZCRB11",1.27868771742471e-122,1.96590086136943,0.914,0.099,2.52125634289531e-116,"10","ZCRB1"
"gene6803",0,3.18456736981525,0.981,0.014,0,"12","gene6803"
"gene2439",6.06558545799979e-284,2.6510644252174,0.907,0.017,1.19598363235675e-277,"12","gene2439"
"gene106891",1.34690646822943e-141,3.27254527681378,0.907,0.054,2.65576686945078e-135,"12","gene10689"
