"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RBM39",2.28125752593793e-214,2.22129382658317,0.901,0.102,4.49807637054069e-208,"4","RBM39"
"gene108142",8.99722631995268e-100,1.2902710089595,0.827,0.146,1.77403079880457e-93,"5","gene10814"
"gene3787",1.95661982150075e-237,3.45409493645233,0.922,0.05,3.85797100290357e-231,"8","gene3787"
"gene139341",4.45589191860058e-106,2.28157671543367,0.874,0.138,8.78591825817645e-100,"8","gene13934"
"RBM392",9.19964399762864e-72,1.39486338817736,0.841,0.139,1.81394256512563e-65,"9","RBM39"
"gene9634",9.92550113308813e-206,1.66040547921325,0.84,0.036,1.95706366356699e-199,"10","gene9634"
"SPTLC1",4.4917216551504e-199,1.43404766692628,0.827,0.036,8.85656564870776e-193,"10","SPTLC1"
"UGT2A1.3",2.06864617425771e-198,1.64951832784153,0.84,0.038,4.07885930003116e-192,"10","UGT2A1.3"
"gene14338",5.82179208037583e-198,1.90013309121841,0.951,0.056,1.14791359998573e-191,"10","gene14338"
"DGAT1",5.32176248864894e-194,1.60796308129617,0.815,0.036,1.0493201152281e-187,"10","DGAT1"
"gene2878",4.70272956247969e-191,1.85565559595096,0.864,0.044,9.27262112300802e-185,"10","gene2878"
"gene11341",8.2245894154136e-187,1.72372220371293,0.802,0.038,1.621685885361e-180,"10","gene11341"
"gene2977",3.69576942093086e-186,1.87987425223461,0.889,0.051,7.28714444302868e-180,"10","gene2977"
"gene13563",3.09603210341397e-183,2.1093138985768,0.889,0.051,6.10461058800281e-177,"10","gene13563"
"gene10568",5.02004349159816e-181,2.16538348798018,0.914,0.058,9.89828581468914e-175,"10","gene10568"
"gene8651",1.52304460703427e-178,1.59922746678279,0.84,0.046,3.00306777305364e-172,"10","gene8651"
"gene12615",2.91692641330539e-177,2.02700571608757,0.889,0.054,5.75145840621414e-171,"10","gene12615"
"gene10709",3.06772246862455e-176,2.08399225066008,0.827,0.044,6.04879098067786e-170,"10","gene10709"
"gene17551",1.10049123160744e-175,2.72310115251046,0.901,0.06,2.16989688739566e-169,"10","gene1755"
"gene3365",1.84126690438679e-173,2.79837999685108,0.988,0.079,3.63052354252536e-167,"10","gene3365"
"gene13313",1.51365749381666e-172,2.21112391443135,0.901,0.059,2.98455870440547e-166,"10","gene13313"
"DDC",4.1796907765526e-171,1.71003329592763,0.864,0.052,8.24131782773992e-165,"10","DDC"
"AGXT.1",8.85859289968196e-169,1.76782413805372,0.864,0.053,1.74669571257266e-162,"10","AGXT.1"
"gene1852",1.4742032473425e-166,1.46315275429418,0.815,0.046,2.90676467555731e-160,"10","gene1852"
"JMJD4",2.33737387395705e-166,1.55637942954705,0.852,0.053,4.60872394809643e-160,"10","JMJD4"
"gene10705",2.40664768881308e-166,1.75862681070802,0.901,0.061,4.74531480036026e-160,"10","gene10705"
"gene180",5.80449932428073e-165,2.35036099810906,0.901,0.065,1.14450389561485e-158,"10","gene180"
"gene14541",6.15642653552656e-165,1.53500049776588,0.877,0.058,1.21389524907041e-158,"10","gene14541"
"gene2901",8.97610110488106e-164,2.08027183474131,0.914,0.066,1.76986542818525e-157,"10","gene2901"
"gene10215",3.37319869649699e-163,1.40512612860424,0.827,0.049,6.65111464941403e-157,"10","gene10215"
"DDAH1",4.14051392451543e-163,1.56233400507181,0.827,0.049,8.16407075220506e-157,"10","DDAH1"
"MFSD10",9.7270291145785e-163,1.86151094827006,0.877,0.059,1.91792988377575e-156,"10","MFSD10"
"gene11863",5.87011407761378e-162,1.63912422639077,0.852,0.055,1.15744150428772e-155,"10","gene11863"
"gene7106",2.80884514780495e-161,1.57225110976085,0.827,0.051,5.53834884671986e-155,"10","gene7106"
"gene1687",3.12950651188772e-160,1.50982839085532,0.802,0.047,6.17061385333414e-154,"10","gene1687"
"gene11354",3.3179273627676e-159,1.64377702738117,0.802,0.047,6.5421332313191e-153,"10","gene11354"
"PLIN2",5.3234471937858e-159,1.85463763193198,0.926,0.071,1.04965229746887e-152,"10","PLIN2"
"LIN37",6.40153107711781e-159,2.20880668141517,0.926,0.073,1.26222381059003e-152,"10","LIN37"
"gene19471",5.54267715715972e-158,2.60180622239861,1,0.092,1.09287903126612e-151,"10","gene1947"
"CCNK",2.91012198935295e-157,1.41730057339838,0.815,0.05,5.73804176287265e-151,"10","CCNK"
"gene8324",3.30146366000196e-157,2.16020782541919,0.914,0.071,6.50967087599985e-151,"10","gene8324"
"gene9964",1.2503555913599e-156,2.16778592789814,0.951,0.079,2.46539238833065e-150,"10","gene9964"
"gene6557",2.82205560212604e-156,1.95738501458365,0.938,0.077,5.56439659965883e-150,"10","gene6557"
"gene8380",4.33356604935897e-156,1.38507247845187,0.802,0.048,8.5447218585217e-150,"10","gene8380"
"OCRL",4.5372796392275e-156,1.63271575102475,0.84,0.055,8.94639474048574e-150,"10","OCRL"
"gene4841",4.75452595133388e-156,1.53025530915679,0.815,0.052,9.37475080812042e-150,"10","gene4841"
"ZNF408",1.15777915710936e-155,1.67348249391451,0.815,0.052,2.28285452636785e-149,"10","ZNF408"
"gene71641",1.42115772134381e-155,2.34657769300923,0.938,0.077,2.80217200053282e-149,"10","gene7164"
"unc-32",2.448230511203e-155,2.30944917349551,0.951,0.083,4.82730585515606e-149,"10","unc-32"
"gene1699",3.45158880132424e-155,2.29064977661577,0.84,0.057,6.80568057377748e-149,"10","gene1699"
"AMDHD2.1",1.08846703550644e-154,1.57284955385713,0.815,0.052,2.14618814266093e-148,"10","AMDHD2.1"
"gene5806",1.20967133536124e-154,1.85863678914527,0.914,0.072,2.38517308451253e-148,"10","gene5806"
"gene5719",3.85626922368893e-154,1.87670176294242,0.827,0.055,7.60361041061632e-148,"10","gene5719"
"gene74981",1.66801509853099e-153,1.87778565970061,0.914,0.073,3.28891377457378e-147,"10","gene7498"
"gene5393",2.05194344662921e-153,2.3407555709126,1,0.093,4.04592564672149e-147,"10","gene5393"
"gene13566",2.07439907007257e-153,1.67791100993067,0.864,0.062,4.09020258961281e-147,"10","gene13566"
"PIWIL2.2",9.29497594773743e-152,1.35420926738179,0.802,0.05,1.83273967098791e-145,"10","PIWIL2.2"
"SUOX",5.62838960389388e-151,1.35213195234919,0.802,0.051,1.10977940866466e-144,"10","SUOX"
"C3orf38",5.90555272428636e-151,2.67097674896645,1,0.098,1.16442913007698e-144,"10","C3orf38"
"gene13918",2.22993067600933e-150,2.08544528803009,0.889,0.069,4.39687250021342e-144,"10","gene13918"
"GTF3A",8.05216469305233e-150,1.59729767732664,0.827,0.058,1.587687989002e-143,"10","GTF3A"
"gene10682",8.47422813109801e-150,1.4564051127324,0.84,0.059,1.67090847401769e-143,"10","gene10682"
"gene12053",2.45546467818096e-149,2.14389280248157,0.963,0.088,4.84156984559735e-143,"10","gene12053"
"gene6231",4.26780910298104e-149,2.39452023793987,0.975,0.093,8.41506540223017e-143,"10","gene623"
"gene11068",5.03245905955915e-149,1.68050132184692,0.852,0.062,9.92276624806294e-143,"10","gene11068"
"DCAF10",7.80817817666575e-149,1.98247474127051,0.901,0.074,1.53957987443752e-142,"10","DCAF10"
"gene44741",1.30947845765577e-148,2.86079714655879,1,0.103,2.58196807731815e-142,"10","gene4474"
"gene12492",1.38678216298157e-148,1.7494195576723,0.901,0.073,2.73439189020539e-142,"10","gene12492"
"gene34751",8.91441754323309e-148,2.69454646528398,0.963,0.09,1.75770295341225e-141,"10","gene3475"
"gene47511",4.38638050485333e-147,2.12734462762189,0.901,0.075,8.64885891958607e-141,"10","gene4751"
"gene13760",1.10495364899295e-146,1.59961265702889,0.914,0.074,2.17869567226279e-140,"10","gene13760"
"gene5721",1.18721390945179e-146,1.60838382246554,0.877,0.067,2.3408925876033e-140,"10","gene572"
"gene64391",4.82921022255034e-146,2.33615943994991,0.914,0.079,9.52200974394429e-140,"10","gene6439"
"gene93101",6.10508251953839e-146,2.74533536367696,0.963,0.093,1.20377147731474e-139,"10","gene9310"
"gene93951",8.3936502380057e-146,1.555800497309,0.827,0.059,1.65502050377385e-139,"10","gene9395"
"FAM46A",8.62572071377397e-146,1.6084356675139,0.84,0.062,1.7007790694546e-139,"10","FAM46A"
"gene3021",1.32416752488404e-145,1.5573421128155,0.84,0.061,2.61093128969267e-139,"10","gene3021"
"gene102911",1.52437002167161e-145,2.17826473514312,0.951,0.09,3.00568116334107e-139,"10","gene10291"
"UBXN6",1.71456166348341e-145,1.53844302275787,0.877,0.069,3.38069210365841e-139,"10","UBXN6"
"GLYATL3",2.61958391174844e-145,2.24872471812892,0.963,0.092,5.16517243674172e-139,"10","GLYATL3"
"XRCC6BP1",2.91455933640142e-145,1.65726868610649,0.864,0.066,5.74679111522751e-139,"10","XRCC6BP1"
"gene4622",3.51890022486435e-145,1.77839046962425,0.914,0.077,6.93840207507695e-139,"10","gene4622"
"VWA9",3.64197167022173e-145,1.5911287770904,0.877,0.07,7.18106856667471e-139,"10","VWA9"
"gene14434",1.36715123175854e-144,1.82653000117841,0.901,0.077,2.69568454267359e-138,"10","gene14434"
"PRKAG2.1",8.98105868876694e-144,1.70639789783672,0.852,0.066,1.77084294127523e-137,"10","PRKAG2.1"
"mad21",1.14669686229514e-143,1.74473078962424,0.926,0.081,2.26100297832102e-137,"10","mad2"
"gene3973",1.65028198979175e-143,1.97076912501987,0.926,0.083,3.25394846421785e-137,"10","gene3973"
"UGCG1",1.81846561750304e-143,1.939737437942,0.889,0.075,3.58556503670847e-137,"10","UGCG"
