"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",9.90100286850246e-111,0.76605859239085,0.941,0.429,1.95223321089783e-104,"0","GCAT"
"2",9.94122550721973e-95,0.8925338260267,0.778,0.381,1.9601641217537e-88,"0","gene2313"
"3",2.52223898829239e-93,0.852243542914098,0.929,0.544,4.97323229188248e-87,"0","EIF4A2"
"4",8.8365307367172e-86,0.626934531356894,1,0.979,1.74234559897144e-79,"0","RPL8"
"5",8.20478298964547e-85,0.703470926353058,0.691,0.281,1.61778054741824e-78,"0","LAMC3"
"6",1.45100484536241e-84,0.672285635789888,1,0.983,2.86102315685786e-78,"0","RPL9"
"7",3.37652707517233e-81,0.660141175766408,0.992,0.784,6.65767739005226e-75,"0","ELOF1"
"8",8.17687000885709e-77,0.758320213679632,0.727,0.337,1.6122767970574e-70,"0","gene3247"
"9",1.6194096025291e-71,0.652655391709702,0.967,0.704,3.19307574201555e-65,"0","EIF3S8"
"10",2.94452974399691e-67,0.587773843394626,0.589,0.234,5.80588535631514e-61,"0","gene2638"
"11",8.83368013989866e-154,1.64283604187078,0.992,0.452,1.74178353168856e-147,"2","APOLP-III"
"12",1.93930435393829e-153,1.63314428469275,0.995,0.486,3.82382917779089e-147,"2","LOC6047835"
"13",1.75947171025667e-149,1.55158607418459,0.995,0.458,3.46924362311372e-143,"2","GCAT"
"14",6.93932384236924e-128,1.34427375298154,1,0.945,1.36826326041631e-121,"2","RPS20"
"15",4.4997957585709e-126,1.38205320893393,1,0.964,8.87248578634945e-120,"2","RPS26"
"16",1.37699709443893e-122,1.34548903525752,1,0.994,2.71509815195125e-116,"2","RPLP2"
"17",6.31611892215151e-122,1.3402581112457,1,0.882,1.2453826433109e-115,"2","RPSL21"
"18",2.04822442219444e-121,1.34281263500782,1,0.978,4.03859264913514e-115,"2","RPS16"
"19",7.82181979457455e-119,1.4337041678823,1,0.942,1.54226966454118e-112,"2","RPS27"
"20",8.80321610756712e-117,1.44584782046386,1,0.987,1.73577677697438e-110,"2","RPS30"
"21",9.1697316536844e-122,2.86979386783385,0.966,0.483,1.80804458973472e-115,"4","APOLP-III"
"22",1.78011110873496e-121,2.62747739268186,0.996,0.513,3.50993941898149e-115,"4","LOC6047835"
"23",1.28321668328825e-118,2.46216730966257,0.991,0.535,2.53018634492365e-112,"4","LOC6047003"
"24",8.83802371578728e-103,2.60030627928284,1,0.948,1.74263997756747e-96,"4","RPS20"
"25",2.37590129393407e-102,2.60536695736201,1,0.966,4.68469050401838e-96,"4","RPL37"
"26",1.58152666746265e-101,2.59333417812705,1,0.992,3.11837995114948e-95,"4","RPS21"
"27",7.52260043331676e-100,2.35835033270901,1,0.987,1.48327099721936e-93,"4","RPSL4"
"28",2.52148283462986e-99,2.46422899692605,1,0.996,4.97174134362992e-93,"4","RPS10"
"29",3.19717566000176e-97,2.40041510428913,1,0.996,6.30404069913546e-91,"4","RPS25"
"30",1.20746206933414e-95,2.41159191462192,0.987,0.865,2.38081695759581e-89,"4","RPS2.1"
"31",2.77034808876949e-97,0.770340478183944,0.93,0.301,5.46244215507552e-91,"5","CPVL"
"32",5.45002180844863e-96,0.861388928720624,0.968,0.376,1.0746096850874e-89,"5","H1-3"
"33",1.0233786241096e-90,0.731932239709557,0.914,0.289,2.01784987222397e-84,"5","LOC118505303orPXT"
"34",5.32531574381733e-90,0.733840107918568,0.952,0.366,1.0500207293819e-83,"5","TUBA8.1"
"35",1.26537131625504e-86,0.908397799494502,0.818,0.216,2.49499968893983e-80,"5","ATRX"
"36",2.46983995965672e-82,0.795405992847076,0.973,0.479,4.86991434997302e-76,"5","GSTA4"
"37",2.82158091094337e-52,1.06177075823568,0.556,0.146,5.56346062589531e-46,"5","gene3364"
"38",1.0585773575997e-44,0.856354358908457,0.979,0.754,2.08725308057928e-38,"5","CG16817"
"39",3.35353895117355e-44,0.780900175124653,0.914,0.549,6.6123504875933e-38,"5","gene4848"
"40",3.43666910951702e-34,0.749129289964731,0.872,0.484,6.7762626266975e-28,"5","ENOPH1"
"41",1.848472763211e-231,1.36624616538163,0.736,0.05,3.64473171627958e-225,"6","gene3163"
"42",1.01674047114704e-222,2.23861227733422,0.944,0.109,2.0047610742056e-216,"6","RBM39"
"43",6.91053308642701e-207,2.06842126777078,0.708,0.052,1.36258643447617e-200,"6","gene11211"
"44",2.45116063759454e-137,2.33768823765226,0.972,0.248,4.83308334065894e-131,"6","SMYD4"
"45",3.44894254144171e-132,1.62843071957623,0.736,0.109,6.80046280291531e-126,"6","gene4888"
"46",3.94672868881384e-80,1.34628191607988,0.904,0.342,7.78197413235476e-74,"6","K02A2.6-like"
"47",4.02137923428762e-76,1.29021762845315,0.82,0.274,7.92916656934432e-70,"6","SMC3"
"48",1.9844720384457e-75,1.37485808695286,0.961,0.452,3.91288869522142e-69,"6","GTF2F1"
"49",1.70913055663214e-66,1.34042493002779,0.983,0.601,3.36998330243108e-60,"6","NDUFA2"
"50",8.52743423972275e-64,1.27920322689107,0.949,0.481,1.68139940444761e-57,"6","ENOPH1"
"51",0,3.07151228508484,0.875,0.052,0,"7","gene3787"
"52",2.75510609513329e-273,1.49541052155167,0.614,0.02,5.43238870839735e-267,"7","CORIN"
"53",2.3326566662673e-205,1.17485897482789,0.545,0.025,4.59942277968254e-199,"7","gene830"
"54",9.93509615735945e-148,1.5687672315985,0.511,0.037,1.9589555653562e-141,"7","gene3713"
"55",4.00555192206282e-134,1.99341415899727,0.807,0.141,7.89795901898313e-128,"7","gene13934"
"56",1.07702331940121e-122,3.02653926659847,0.926,0.258,2.1236239610993e-116,"7","gene10749"
"57",1.63291315047247e-84,1.77269666367471,0.909,0.346,3.21970140318354e-78,"7","gene8227"
"58",4.19086419496887e-79,1.1668974947654,0.5,0.074,8.26334904902245e-73,"7","gene7771"
"59",1.43070934267266e-62,1.27146711819495,0.568,0.127,2.82100543854284e-56,"7","gene7200"
"60",3.53512481774513e-53,1.18675792937209,0.602,0.169,6.9703929647634e-47,"7","C02D5.2"
"61",3.79077156166695e-161,1.41877882105905,0.578,0.039,7.4744651990315e-155,"8","gene11279"
"62",1.19800817472792e-115,0.996589371837348,0.429,0.029,2.36217621254431e-109,"8","gene11280"
"63",2.76064135799269e-100,1.30336434638262,0.558,0.065,5.44330287954617e-94,"8","gene11211"
"64",1.87277572304817e-96,0.947103547688584,0.76,0.124,3.6926511502474e-90,"8","RBM39"
"65",1.01870020696265e-72,0.879731337140607,0.299,0.024,2.00862518917923e-66,"8","gene4038"
"66",3.87313861862515e-72,0.849552759237026,0.273,0.019,7.63687269068999e-66,"8","gene11210"
"67",1.22542925868222e-67,0.732204100354734,0.922,0.256,2.41624381709444e-61,"8","SMYD4"
"68",2.27537738394596e-45,0.610752386868143,0.409,0.076,4.4864821829276e-39,"8","gene11282"
"69",1.28008791679871e-43,0.587855270726716,0.734,0.229,2.52401719021161e-37,"8","AUB"
"70",4.37705493160114e-37,0.794155381119011,0.909,0.487,8.63047119254934e-31,"8","ENOPH1"
"71",5.19413419894605e-152,1.78283734992213,0.648,0.055,1.02415496891745e-145,"9","gene5495"
"72",7.18970535708468e-129,1.60354295153112,0.848,0.122,1.41763231069478e-122,"9","RBM39"
"73",1.22357479970442e-125,1.34352866015833,0.51,0.039,2.41258728204158e-119,"9","gene13620"
"74",2.16578984218044e-90,1.2876617785927,0.91,0.222,4.27040261868881e-84,"9","AUB"
"75",4.70014967279782e-90,1.225474955695,0.834,0.181,9.26753421778812e-84,"9","TSSK3"
"76",1.08381160951809e-70,1.32386532780166,1,0.888,2.13700879250211e-64,"9","SUMO1"
"77",6.4090032578815e-65,1.23682260292944,0.89,0.26,1.26369714007376e-58,"9","SMYD4"
"78",3.92448935237242e-59,1.20048467396245,0.586,0.122,7.73812365400837e-53,"9","gene4888"
"79",3.58552597603032e-49,1.2610970305073,0.959,0.486,7.06977159981572e-43,"9","ENOPH1"
"80",2.73215937021927e-39,1.66693293278903,0.876,0.461,5.38714343470796e-33,"9","GTF2F1"
"81",1.0083716521537e-60,0.807558360147908,0.865,0.304,1.98825983024902e-54,"10","OSK"
"82",1.54612738695048e-31,0.327089677122275,0.511,0.144,3.04858131360178e-25,"10","gene1437"
"83",0,2.88826471189321,0.917,0.014,0,"11","gene6803"
"84",0,2.68138218839808,0.879,0.024,0,"11","gene1916"
"85",0,2.56670374059658,0.932,0.017,0,"11","gene2439"
"86",0,2.22592056134792,0.712,0.015,0,"11","gene10574"
"87",0,1.90384613119011,0.765,0.011,0,"11","gene10236"
"88",2.23578741831823e-290,3.14549339068469,0.917,0.051,4.40842054943123e-284,"11","gene10689"
"89",7.61203763357753e-249,1.94951493276229,0.879,0.055,1.50090580401194e-242,"11","gene14629"
"90",3.21972820405002e-248,1.92453592566263,0.841,0.05,6.34850874552023e-242,"11","gene7137"
"91",5.94390798901061e-143,1.78188286259661,0.583,0.041,1.17199184090556e-136,"11","CecA1"
"92",3.7822847218546e-123,1.70575531560613,0.864,0.146,7.45773124717098e-117,"11","SPARC"
"93",4.11030536890648e-83,4.79115277780184,1,0.265,8.10450694205745e-77,"12","LOC6033969"
"94",1.11677741855926e-74,4.63693017945916,1,0.319,2.20200922537647e-68,"12","CPVL"
"95",6.34592510114168e-72,4.8404954973258,1,0.336,1.25125968559514e-65,"12","LOC6033971"
"96",9.59881445803616e-71,4.75104269943579,1,0.352,1.89264912040762e-64,"12","LOC120956412.2"
"97",1.04757741575492e-68,4.67541403487128,1,0.372,2.06556391224701e-62,"12","MAI2"
"98",4.64288488034298e-67,4.376335398683,1,0.384,9.15462219147091e-61,"12","TUBA8.1"
"99",1.79026692086269e-59,4.8733038271165,1,0.494,3.52996417201176e-53,"12","GSTA4"
"100",9.32013777764843e-59,5.03332583231764,1,0.525,1.83770096234916e-52,"12","GSTM2"
"101",3.80047847085974e-55,4.88325378397903,1,0.718,7.49360482635311e-49,"12","KHDRBS2"
"102",3.07400513076432e-54,4.63653434901857,1,0.76,6.06117883859994e-48,"12","CCDC86"
"103",9.49103593405995e-118,3.81338759053011,0.92,0.103,1.87139785760905e-111,"13","UCP2"
"104",3.93369337809735e-101,3.71307708096623,0.947,0.141,7.75627171934358e-95,"13","gene1437"
"105",4.30885335352176e-84,4.48101908816968,0.987,0.209,8.49599452636659e-78,"13","VGR"
"106",9.70574022372379e-70,4.52785675964818,1,0.283,1.91373224033481e-63,"13","POLR3GL"
"107",6.2533918639009e-68,4.85070223260304,1,0.312,1.23301441678222e-61,"13","OSK"
"108",1.11792929472098e-59,4.10014149664028,1,0.351,2.20428044065398e-53,"13","LOC6033718"
"109",7.81576287970964e-58,4.98231511575187,0.973,0.355,1.54107539053561e-51,"13","H1-0"
"110",9.25778445829284e-56,4.39720314928589,1,0.417,1.82540642789923e-49,"13","LOC6038517"
"111",1.21531092999587e-50,5.05608604678187,1,0.574,2.39629297215215e-44,"13","LOC119767247"
"112",5.29413344376198e-26,3.86233453200354,0.933,0.738,1.0438723500138e-19,"13","FK506"
"113",2.08177013013848e-174,0.978843473920037,0.366,0.002,4.10473649941094e-168,"14","gene1442"
"114",6.52023406182848e-169,1.35194567168001,0.39,0.003,1.28562910721125e-162,"14","gene6728"
"115",5.44855649165257e-166,1.66639088786719,0.415,0.004,1.07432076080854e-159,"14","gene1605"
"116",7.76341064116583e-159,1.40416185764181,0.317,0.002,1.53075282219506e-152,"14","gene2629"
"117",2.8573766038267e-119,1.42266695684512,0.39,0.007,5.6340408907251e-113,"14","PebIII.1"
"118",4.23947864668742e-60,0.912797364484402,0.293,0.009,8.35920474004186e-54,"14","gene4054"
"119",3.15176364226055e-42,1.07978692101146,0.317,0.017,6.21449941691816e-36,"14","gene2449"
"120",4.73223208896134e-34,2.20160562745761,0.317,0.022,9.33079281810579e-28,"14","gene5361"
"121",1.2689522344603e-18,1.20769083079337,0.463,0.081,2.5020603751538e-12,"14","gene10689"
"122",2.79077982670724e-10,1.26906300704824,0.317,0.07,0.000550272849564949,"14","gene1699"
"123",0,3.51689336280811,1,0.003,0,"15","gene481"
"124",0,1.9012698895285,0.889,0.007,0,"15","gene11003"
"125",0,1.84952652633066,0.852,0.005,0,"15","SYT2"
"126",0,1.58324142083808,0.704,0.001,0,"15","SCG5"
"127",1.91764397335313e-257,1.23824046321336,0.593,0.003,3.78112025739096e-251,"15","gene8024"
"128",2.30078610116338e-255,0.886387837118177,0.481,0.001,4.5365818973272e-249,"15","gene7584"
"129",1.75775304178424e-56,1.77822895744002,0.889,0.075,3.4658548333972e-50,"15","gene7137"
"130",5.47378295594447e-56,0.905106279842951,0.296,0.007,1.07929479647324e-49,"15","gene7358"
"131",4.00629840396781e-45,1.10716841430665,0.667,0.05,7.89943089691874e-39,"15","gene6712"
"132",3.2684142522379e-09,1.02941714761946,0.519,0.154,0.00644450560709284,"15","gene5988"
